train,stations
train_1,"[Schiedam Centrum, Rotterdam Centraal, Rotterdam Alexander, Rotterdam Blaak, Dordrecht, Vlissingen, Roosendaal]"
train_2,"[Oss, s-Hertogenbosch, Tilburg, Breda, Etten-Leur, Vlissingen, Roosendaal]"
train_3,"[Heerlen, Sittard, Roermond, Sittard, Maastricht, Sittard, Roermond, Weert, Eindhoven, Venlo, Helmond]"
train_4,"[Heemstede-Aerdenhout, Haarlem, Amsterdam Sloterdijk, Amsterdam Zuid, Schiphol Airport, Leiden Centraal, Alphen a/d Rijn, Den Haag HS, Leiden Centraal, Den Haag Centraal, Delft, Den Haag Laan v NOI, Gouda]"
train_5,"[Alkmaar, Castricum, Beverwijk, Zaandam, Amsterdam Sloterdijk, Zaandam, Hoorn, Alkmaar, Den Helder]"
train_6,"[Enschede, Hengelo, Enschede, Hengelo, Zwolle, Amersfoort, Zwolle, Almelo]"
train_7,"[Arnhem Centraal, Nijmegen, Oss, s-Hertogenbosch, Oss, Nijmegen, Arnhem Centraal, Nijmegen, Arnhem Centraal, Ede-Wageningen, Arnhem Centraal, Dieren, Apeldoorn, Zutphen]"
train_8,"[Deventer, Steenwijk, Heerenveen, Leeuwarden, Heerenveen, Leeuwarden, Groningen, Assen, Zwolle]"
train_9,"[Lelystad Centrum, Almere Centrum, Lelystad Centrum, Almere Centrum, Amsterdam Centraal, Almere Centrum, Hilversum, Amsterdam Amstel, Utrecht Centraal]"
score,7775.0
