train,stations
train_1,"[Den Haag HS, Gouda, Rotterdam Alexander, Rotterdam Blaak, Dordrecht, Roosendaal, Vlissingen]"
train_2,"[Schiedam Centrum, Rotterdam Centraal, Dordrecht, Roosendaal, Etten-Leur, Breda, Tilburg, s-Hertogenbosch, Utrecht Centraal, Hilversum, Amsterdam Amstel, Amsterdam Centraal]"
train_3,"[Roermond, Weert, Eindhoven, s-Hertogenbosch, Utrecht Centraal, Alphen a/d Rijn, Leiden Centraal, Den Haag HS, Delft, Den Haag Centraal, Gouda, Rotterdam Alexander]"
train_4,"[Deventer, Zutphen, Dieren, Arnhem Centraal, Ede-Wageningen, Utrecht Centraal, Amersfoort, Apeldoorn]"
train_5,"[Zutphen, Dieren, Arnhem Centraal, Nijmegen, Oss, s-Hertogenbosch, Tilburg, Eindhoven, Helmond, Venlo]"
train_6,"[Eindhoven, Tilburg, Breda, Dordrecht, Rotterdam Centraal, Rotterdam Alexander, Rotterdam Blaak, Schiedam Centrum, Delft, Den Haag HS, Leiden Centraal, Heemstede-Aerdenhout, Haarlem, Amsterdam Sloterdijk, Amsterdam Zuid, Schiphol Airport]"
train_7,"[Steenwijk, Zwolle, Assen, Groningen, Leeuwarden, Heerenveen]"
train_8,"[Heerlen, Sittard, Maastricht]"
train_9,"[Den Haag Laan v NOI, Leiden Centraal, Den Haag Centraal, Gouda, Alphen a/d Rijn, Utrecht Centraal, Hilversum, Amsterdam Amstel, Amsterdam Centraal, Almere Centrum, Lelystad Centrum]"
train_10,"[Castricum, Zaandam, Hoorn, Alkmaar, Den Helder]"
train_11,"[Hoorn, Zaandam, Beverwijk, Castricum, Alkmaar, Den Helder]"
train_12,"[Den Haag Centraal, Leiden Centraal, Schiphol Airport, Utrecht Centraal, s-Hertogenbosch, Oss, Nijmegen, Arnhem Centraal, Dieren, Zutphen, Deventer, Apeldoorn]"
train_13,"[Maastricht, Sittard, Heerlen]"
train_14,"[Rotterdam Centraal, Schiedam Centrum, Delft, Den Haag Laan v NOI, Leiden Centraal, Schiphol Airport, Amsterdam Zuid, Amsterdam Amstel, Hilversum, Almere Centrum, Amsterdam Centraal, Amsterdam Sloterdijk, Zaandam, Beverwijk]"
train_15,"[Apeldoorn, Amersfoort, Zwolle, Almelo, Hengelo, Enschede]"
train_16,"[Castricum, Zaandam, Beverwijk, Haarlem, Heemstede-Aerdenhout, Leiden Centraal, Schiphol Airport, Utrecht Centraal, Amsterdam Centraal, Almere Centrum]"
train_17,"[Leiden Centraal, Den Haag HS, Delft, Den Haag Centraal, Gouda, Den Haag Laan v NOI]"
train_18,"[Enschede, Hengelo, Almelo, Deventer, Zutphen, Apeldoorn, Amersfoort, Zwolle, Assen]"
train_19,"[Roermond, Sittard, Heerlen]"
train_20,"[Groningen, Leeuwarden, Heerenveen, Steenwijk, Zwolle, Amersfoort, Apeldoorn, Deventer]"
score,5463.0
