train,stations
train_1,"[Schiphol Airport, Amsterdam Zuid, Amsterdam Amstel, Amsterdam Centraal, Amsterdam Sloterdijk, Zaandam, Castricum, Beverwijk, Haarlem, Heemstede-Aerdenhout, Leiden Centraal, Alphen a/d Rijn, Gouda, Rotterdam Alexander, Rotterdam Blaak, Dordrecht]"
train_2,"[Almelo, Hengelo, Enschede]"
train_3,"[Hengelo, Enschede]"
train_4,"[Hengelo, Enschede]"
train_5,"[Hengelo, Enschede]"
train_6,"[Schiedam Centrum, Rotterdam Centraal, Rotterdam Alexander, Gouda, Den Haag Centraal, Leiden Centraal, Den Haag Laan v NOI, Delft, Den Haag HS]"
train_7,"[Hengelo, Enschede]"
train_8,"[Zwolle, Steenwijk, Heerenveen, Leeuwarden, Groningen, Assen]"
train_9,"[Helmond, Venlo]"
train_10,"[Hilversum, Almere Centrum, Lelystad Centrum]"
train_11,"[Hengelo, Enschede]"
train_12,"[Breda, Etten-Leur, Roosendaal, Vlissingen]"
train_13,"[Hengelo, Enschede]"
train_14,"[Hengelo, Enschede]"
train_15,"[Hoorn, Alkmaar, Den Helder]"
train_16,"[Nijmegen, Oss, s-Hertogenbosch, Tilburg, Eindhoven, Weert, Roermond, Sittard, Maastricht]"
train_17,"[Hengelo, Enschede]"
train_18,"[Sittard, Heerlen]"
train_19,"[Deventer, Apeldoorn, Amersfoort, Utrecht Centraal, Ede-Wageningen, Arnhem Centraal, Dieren, Zutphen]"
train_20,"[Hengelo, Enschede]"
score,7118.0
