train,stations
train_1,"[Amersfoort, Utrecht Centraal, Hilversum]"
train_2,"[Gouda, Rotterdam Alexander, Rotterdam Centraal, Schiedam Centrum, Delft, Den Haag Laan v NOI, Leiden Centraal, Heemstede-Aerdenhout, Haarlem, Amsterdam Sloterdijk, Zaandam, Castricum, Beverwijk]"
train_3,"[Den Helder, Alkmaar, Hoorn]"
train_4,"[Alphen a/d Rijn, Leiden Centraal, Den Haag Centraal]"
train_5,"[Venlo, Helmond, Eindhoven, Weert, Roermond, Sittard, Heerlen]"
train_6,"[Dieren, Zutphen, Deventer, Zwolle, Steenwijk, Heerenveen, Leeuwarden, Groningen, Assen]"
train_7,"[Etten-Leur, Roosendaal, Vlissingen]"
train_8,"[Enschede, Hengelo, Almelo, Deventer, Apeldoorn]"
train_9,"[Den Haag HS, Delft, Schiedam Centrum, Rotterdam Centraal, Rotterdam Alexander, Rotterdam Blaak, Dordrecht, Breda, Tilburg, s-Hertogenbosch, Oss, Nijmegen, Arnhem Centraal, Ede-Wageningen]"
train_10,"[Schiphol Airport, Amsterdam Zuid, Amsterdam Amstel, Amsterdam Centraal, Almere Centrum, Lelystad Centrum]"
train_11,"[Sittard, Maastricht]"
score,8079.0
